number,state,value,params
81,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3114869988025259, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
82,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3056082841626612, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
83,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4144934576273334, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
84,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2604849910874078, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
85,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3758742287965108, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
86,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4339335365454839, ""max_epochs"": 2850, ""n_layers"": 1, ""patience"": 17, ""units_0"": 32}"
87,PRUNED,0.9333333333333333,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.23385832826157732, ""max_epochs"": 750, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
88,PRUNED,0.9666666666666667,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.19014756698059052, ""max_epochs"": 650, ""n_layers"": 1, ""patience"": 13, ""units_0"": 256}"
89,PRUNED,0.6694444444444444,"{""activation_0"": ""sigmoid"", ""batch_size"": 128, ""lr"": 0.28395884553338324, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 10, ""units_0"": 8192}"
90,PRUNED,0.9333333333333333,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.013265669117001645, ""max_epochs"": 1850, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
